N°;NOMBRE;NUMERO;FECHA;AÑO;TEMA;ESTADO;ESCANEADA
1;REF.ORDENANZA DE VIATICOS Y PASAJES;GAC. 801;30/1/2018;2018;VIATICOS Y PASAJES;VIGENTE;FALTANDO
2;TASA POR USO DE ESPACIOS PUBLICOS Y PERMISOS ;GAC.804;31/1/2018;2018;ESPACIOS PUBLICOS;;
3;SANCIONES AL INCUMPLIMIENTO POR APARCAMIENTO DE VEHICULOS DE MOTOR;GAC 805;31/1/2018;2018;SANCIONES;VIGENTE;X
4;USO DE PLAZAS PUBLICAS ;GAC 806;31/1/2018;2018;USO DE PLAZAS;VIGENTE;X
5;TRANSPARECIA DE LOS CONCEJOS COMUNALES;GAC.807;31/1/2018;2018;CONCEJO COMUNALES;VIGENTE;FALTANDO
6;PLAN ESPECIAL DE DESARROLLO URBANO AV. ALDONZA MANRIQUE;GAC. 808;31/1/2018;2018;DESARROLLO URBANO;VIGENTE;X
7;CREACION DE SERVICIO DECONCENTRADO DE ADM TRIBUTARIA (SEDEMATRI);GAC. 812;9/2/2018;2018;TRIBUTOS;;
8;CONTRIBUCIONES ESPECIALES POR PLUSVALIAS POR CAMBIO DE USO;GAC. 814;14/2/2018;2018;CONTRIBUCUIONES;VIGENTE;X
9;PROCEDIMIENTOS TRIBUTARIOS;GAC.815;14/2/2018;2018;TRIBUTARIO;VIGENTE;X
10;CONTAMINACION POR RUIDO;GAC.816;14/2/2018;2018;CONTAMINACION ;VIGENTE;FALTANDO
11;REGIMEN DE BIENES MUNICIPALES;GAC. 817;14/2/2018;2018;BIENES MUNICIPALES;VIGENTE;X
12;TASAS POR SERVICIOS ADMINISTRATIVOS;GAC.826;2/3/2018;2018;SERVICIOS ADMINISTRATIVOS;VIGENTE;FALTANDO
13;PROTECCION CIUDADANA A LOS ADULTOS MAYORES Y PERSONAS CON DISCAPACIDAD;GAC.827;2/3/2018;2018;PROTECCION CIUDADANA;VIGENTE;X
14;CREACION DEL INST AUTONOMO DE PROTECCION CIVIL;GAC.863;31/7/2018;2018;CREACION DE INSTITUTO;VIGENTE;FALTANDO
15;REGISTRO Y AUTORIZACION PARA EL EXPEDIO DE BEBIDAS ALCOHOLICAS ;GAC.894;26/9/2018;2018;BEBIDAS ALCOHOLICAS;;
16;IMPUESTO SOBRE VEHICULOS Y TABULADOR;GAC.895;26/9/2018;2018;IMPUESTOS;VIGENTE;FALTANDO
17;TARIFAS,VIATICOS Y PASAJES DENTRO DEL TERRITORIO NACIONAL;GAC.902;9/10/2018;2018;TARIFAS;VIGENTE;FALTANDO
18;JUEGOS, APUESTAS ILICITAS Y SIMILARES;GAC.338;18/10/2018;2018;JUEGOS;;
19;PUBLICIDAD Y PROPAGANDA COMERCIAL;GAC.907;18/10/2018;2018;PUBLICIDAD;;
20;SERVICIO DESCONCENTRADO DE ADMINISTRACION TRIBUTARIA;GAC.908;18/10/2018;2018;TRIBUTARIA;VIGENTE;X
21;IMPUESTO DE ACTIVIDADES ECONOMICAS INDUSTRIALES ;GAC.909;19/10/2018;2018;IMPUESTOS;VIGENTE;x
22;PROCEDIMIENTOS Y REQUISITOS PARA EL PAGO A FUNCIONARIOS DE SEDEMATRI;GAC.910;19/10/2018;2018;SEDEMATRI;VIGENTE;X
23;COMERCIO INFORMAL DEL MUNICIPIO;GAC.911;19/10/2018;2018;COMERCIO INFORMAL;VIGENTE;X
24;REFORMA  DE LA ORDENANZA SOBRE ESPECTACULO PUBLICO;GAC.912;19/10/2018;2018;ESPECTACULO PUBLICO;;
25;REGIMEN PARLAMENTARIO DEL MUNICIPIO MANEIRO;GAC.958;31/1/2019;2019;PARLAMENTARIO;;
26;TASA POR USO DE ESPACIOS PUBLICOS Y PERMISOS ;GAC.978;28/3/2019;2019;ESPECTACULO PUBLICO;;
27;REF. CREACION DE SERVICIO DECONCENTRADO DE ADM TRIBUTARIA (SEDEMATRI);GAC.979;29/3/2019;2019;SEDEMATRI;VIGENTE;X
28;REF. ORDENANZA DE VIATICOS;GAC.1001;22/5/2019;2019;VIATICOS Y PASAJES;VIGENTE;FALTANDO
29;CREACION DE INSTITUTO MUNICIPAL DE AMBIENTE (IMAM);GAC.1002;27/5/2019;2019;CREACION DEL IMAM;VIGENTE;X
30;CREACION Y PUBLICACION DE LA ORDENANZA DE CALCULO MUNICIPAL ;GAC.1050;16/9/2019;2019;CALCULO MUNICIPAL;;
31;REF.PROPAGANDA Y PUBLICIDAD;GAC. 1062;16/10/2019;2019;PUBLICIDAD;;
32;SERVICIO DE ASEO URBANO,RURAL Y DOMICILIARIO ;GAC.1067;2/10/2019;2019;ASEO URBANO;;
33;IMPUESTOS SOBRE INMUEBLES URBANOS;GAC.1073;14/11/2019;2019;IMPUESTOS;;
34;TASA POR USO DE ESPACIOS PUBLICOS ;GAC.1074;14/11/2019;2019;ESPACIOS PUBLICOS;;
35;OTORGAMIENTO DE OBSERVACIONES A FUNCIONARIOS DE LA ADMINISTRACION TRIBUITARIA;GAC.1114;29/1/2020;2020;TRIBUTARIO;VIGENTE;FALTANDO
36;SOLVENCIA UNICA TRIBUTARIA ;GAC.1123;6/2/2020;2020;TRIBURARIO;VIGENTE;X
37;CREACION Y PUBLICACION DE LA ORDENANZA DE CALCULO MUNICIPAL ;GAC.1126;11/2/2020;2020;CALCULO MUNICIPAL;;
38;ACTIVIDADES ECONOMICAS;GAC.1127;11/2/2020;2020;ECONOMICA;VIGENTE;X
39;CREACION DE LA ORDENANZA DE LA UNIDAD DE CALCULO MUNICIPAL;GAC.1196;18/9/2020;2020;UNIDAD DE CALCULO;VIGENTE;X
40;IMPUESTO SOBRE ACTIVIDADES ECONOMICAS DE INDUSTRIA Y COMERCIO;GAC.1197;18/9/2020;2020;ECONOMICA;;
41;IMPUESTOS SOBRE INMUEBLES URBANOS;GAC.1198;18/9/2020;2020;IMPUESTOS;;
42;TASAS POR USO DE ESPACIOS PUBLICOS Y SERVICIOS PRESTADOS ;GAC.1199;18/9/2020;2020;TASAS;;
43;IMPUESTO SOBRE PROPAGANDA Y PUBLICIDAD COMERCIAL;GAC.1200;18/9/2020;2020;IMPUESTOS;;
44;CEMENTERIOS Y REGULACION DE SERVICIO FUNERARIO;GAC.1201;18/9/2020;2020;SERVICION FUNERARIO;VIGENTE;FALTANDO
45;REGISTRO UNICO DE CONTRIBUYENTES;GAC.1202;18/9/2020;2020;CONTRUBUYENTES;VIGENTE;X
46;REGULACION PARA LA PRESTACION DE LOS SERVICIOS DE AGUAY SANEAMIENTO;GAC.1208;30/9/2020;2020;AGUA POTABLE;VIGENTE;FALTANDO
47;IMPUESTOS SOBRE VEHICULOS;GAC.1227;16/11/2020;2020;IMPUESTOS;;
48;CREACION DE INSTITUTO DE DEPORTE;GAC.1240;22/12/2020;2020;DEPORTE;VIGENTE;X
49;ASEO URBANO,RURAL Y DOMICILIARIO;GAC.1246;12/1/2021;2021;ASEO URBANO;;
50;INCLUSION A LA PRIMERA EXPERIENCIA LABORAL DE LA JUVENTUD;GAC.1291;29/4/2021;2021;LABORAL;VIGENTE;X
51;REVISION Y RECARGOS DE MULTAS E IMPUESTOS DE ACTIVIDADES ECONOMICAS DE INDUSTRIA;GAC.1292;29/4/2021;2021;ECONOMICA;;
52;REGIMEN PARLAMENTARIO DEL MUNICIPIO MANEIRO;GAC.1304;28/5/2021;2021;REGIMEN PARLAMENTARIO;VIGENTE;X
